hidden_size,n_layers,lr,weight_std,normalize,activation,batch_size,epochs,train_loss,val_loss,train_acc,test_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_auc,test_auc,time_s
8,1,0.01,0.01,True,relu,32,300,0.6680664942752883,0.6674791117443943,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.9240767485042295,0.9415584415584415,0.3317556381225586
8,1,0.05,0.01,True,relu,32,300,0.30824007954389804,0.31376223623104016,0.8760330578512396,0.8688524590163934,0.8932038834951457,0.8846153846153846,0.8288288288288288,0.8214285714285714,0.8598130841121495,0.8518518518518519,0.9412007427274603,0.9372294372294372,0.2681283950805664
8,1,0.1,0.01,True,relu,32,300,0.2859753818288859,0.31003573826414915,0.9090909090909091,0.9016393442622951,0.9158878504672897,0.9230769230769231,0.8828828828828829,0.8571428571428571,0.8990825688073395,0.8888888888888888,0.9499346674919195,0.9393939393939393,0.2617340087890625
16,1,0.01,0.01,True,relu,32,300,0.6319665564942808,0.6327519306245681,0.8181818181818182,0.7704918032786885,0.971830985915493,0.9375,0.6216216216216216,0.5357142857142857,0.7582417582417582,0.6818181818181818,0.9230451825871674,0.9480519480519481,0.31645846366882324
16,1,0.05,0.01,True,relu,32,300,0.30240959318073396,0.3074981098882229,0.8801652892561983,0.8688524590163934,0.8942307692307693,0.8846153846153846,0.8378378378378378,0.8214285714285714,0.8651162790697674,0.8518518518518519,0.9427824771336222,0.9404761904761905,0.30304622650146484
16,1,0.1,0.01,True,relu,32,289,0.28057672702823794,0.29759824611984625,0.9173553719008265,0.8688524590163934,0.9252336448598131,0.8571428571428571,0.8918918918918919,0.8571428571428571,0.908256880733945,0.8571428571428571,0.9517227150814936,0.9448051948051948,0.27988767623901367
32,1,0.01,0.01,True,relu,32,300,0.6013293616861423,0.6010517293188296,0.8305785123966942,0.8688524590163934,0.9166666666666666,0.9166666666666666,0.6936936936936937,0.7857142857142857,0.7897435897435897,0.8461538461538461,0.9216697613644178,0.9458874458874459,0.30141615867614746
32,1,0.05,0.01,True,relu,32,300,0.2955439529617956,0.3053353261865886,0.8966942148760331,0.8688524590163934,0.9056603773584906,0.8846153846153846,0.8648648648648649,0.8214285714285714,0.8847926267281107,0.8518518518518519,0.9456020906402586,0.9448051948051949,0.31873273849487305
32,1,0.1,0.01,True,relu,32,300,0.2647664004971117,0.3008506693829835,0.9338842975206612,0.9016393442622951,0.9439252336448598,0.8928571428571429,0.9099099099099099,0.8928571428571429,0.926605504587156,0.8928571428571429,0.9561928340554295,0.9523809523809524,0.32231593132019043
8,2,0.01,0.01,True,relu,32,213,0.6901366177990707,0.6901721931824051,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7609517914861426,0.7586580086580086,0.2672131061553955
8,2,0.05,0.01,True,relu,32,40,0.6901872466811192,0.6902216749936074,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7586823464686061,0.7575757575757576,0.04810047149658203
8,2,0.1,0.01,True,relu,32,36,0.6897896913958749,0.6898365858361533,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7828209889278591,0.79004329004329,0.04653358459472656
